region_idx,region_name,network,accuracy,precision,recall,f1_score,n_positive_samples,n_total_samples
0,RH_VisCent_ExStr_1,VisCent,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
1,RH_VisCent_ExStr_2,VisCent,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
2,RH_VisCent_Striate_1,VisCent,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
3,RH_VisCent_ExStr_3,VisCent,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
4,RH_VisCent_ExStr_4,VisCent,0.9997690886699507,1.0,0.9732142857142857,0.9864253393665159,224,25984
5,RH_VisCent_ExStr_5,VisCent,0.9999230295566502,1.0,0.9910714285714286,0.9955156950672646,224,25984
6,RH_VisPeri_ExStrInf_1,VisPeri,0.9998460591133005,0.9954954954954955,0.9866071428571429,0.9910313901345291,224,25984
7,RH_VisPeri_ExStrInf_2,VisPeri,0.9997306034482759,0.9954337899543378,0.9732142857142857,0.9841986455981941,224,25984
8,RH_VisPeri_StriCal_1,VisPeri,0.9997690886699507,1.0,0.9732142857142857,0.9864253393665159,224,25984
9,RH_VisPeri_ExStrSup_1,VisPeri,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
10,RH_VisPeri_ExStrSup_2,VisPeri,0.9998460591133005,0.9954954954954955,0.9866071428571429,0.9910313901345291,224,25984
11,RH_VisPeri_ExStrSup_3,VisPeri,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
12,RH_SomMotA_1,SomMotA,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
13,RH_SomMotA_2,SomMotA,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
14,RH_SomMotA_3,SomMotA,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
15,RH_SomMotA_4,SomMotA,0.9997690886699507,1.0,0.9732142857142857,0.9864253393665159,224,25984
16,RH_SomMotA_5,SomMotA,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
17,RH_SomMotA_6,SomMotA,0.9997306034482759,0.9954337899543378,0.9732142857142857,0.9841986455981941,224,25984
18,RH_SomMotA_7,SomMotA,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
19,RH_SomMotA_8,SomMotA,0.9999230295566502,1.0,0.9910714285714286,0.9955156950672646,224,25984
20,RH_SomMotA_9,SomMotA,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
21,RH_SomMotA_10,SomMotA,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
22,RH_SomMotA_11,SomMotA,0.9997690886699507,1.0,0.9732142857142857,0.9864253393665159,224,25984
23,RH_SomMotB_Aud_1,SomMotB,0.9997690886699507,0.9954545454545455,0.9776785714285714,0.9864864864864865,224,25984
24,RH_SomMotB_Aud_2,SomMotB,0.9997690886699507,1.0,0.9732142857142857,0.9864253393665159,224,25984
25,RH_SomMotB_S2_1,SomMotB,0.9997306034482759,1.0,0.96875,0.9841269841269841,224,25984
26,RH_SomMotB_S2_2,SomMotB,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
27,RH_SomMotB_S2_3,SomMotB,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
28,RH_SomMotB_S2_4,SomMotB,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
29,RH_SomMotB_Cent_1,SomMotB,0.9999230295566502,1.0,0.9910714285714286,0.9955156950672646,224,25984
30,RH_DorsAttnA_TempOcc_1,DorsAttnA,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
31,RH_DorsAttnA_ParOcc_1,DorsAttnA,0.9997690886699507,0.990990990990991,0.9821428571428571,0.9865470852017937,224,25984
32,RH_DorsAttnA_SPL_1,DorsAttnA,0.999692118226601,1.0,0.9642857142857143,0.9818181818181818,224,25984
33,RH_DorsAttnA_SPL_2,DorsAttnA,0.9997690886699507,1.0,0.9732142857142857,0.9864253393665159,224,25984
34,RH_DorsAttnA_SPL_3,DorsAttnA,0.9999230295566502,1.0,0.9910714285714286,0.9955156950672646,224,25984
35,RH_DorsAttnA_SPL_4,DorsAttnA,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
36,RH_DorsAttnB_PostC_1,DorsAttnB,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
37,RH_DorsAttnB_PostC_2,DorsAttnB,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
38,RH_DorsAttnB_PostC_3,DorsAttnB,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
39,RH_DorsAttnB_PostC_4,DorsAttnB,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
40,RH_DorsAttnB_FEF_1,DorsAttnB,0.9999230295566502,0.9955357142857143,0.9955357142857143,0.9955357142857143,224,25984
41,RH_SalVentAttnA_ParOper_1,SalVentAttnA,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
42,RH_SalVentAttnA_PrC_1,SalVentAttnA,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
43,RH_SalVentAttnA_Ins_1,SalVentAttnA,0.9998075738916257,0.995475113122172,0.9821428571428571,0.9887640449438202,224,25984
44,RH_SalVentAttnA_Ins_2,SalVentAttnA,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
45,RH_SalVentAttnA_FrOper_1,SalVentAttnA,0.9999230295566502,1.0,0.9910714285714286,0.9955156950672646,224,25984
46,RH_SalVentAttnA_FrMed_1,SalVentAttnA,0.9999230295566502,1.0,0.9910714285714286,0.9955156950672646,224,25984
47,RH_SalVentAttnA_ParMed_1,SalVentAttnA,0.9998075738916257,0.995475113122172,0.9821428571428571,0.9887640449438202,224,25984
48,RH_SalVentAttnA_ParMed_2,SalVentAttnA,0.9999615147783252,1.0,0.9955357142857143,0.9977628635346756,224,25984
49,RH_SalVentAttnA_FrMed_2,SalVentAttnA,0.9999230295566502,1.0,0.9910714285714286,0.9955156950672646,224,25984
50,RH_SalVentAttnB_IPL_1,SalVentAttnB,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
51,RH_SalVentAttnB_PFClv_1,SalVentAttnB,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
52,RH_SalVentAttnB_PFCl_1,SalVentAttnB,0.9997690886699507,0.9954545454545455,0.9776785714285714,0.9864864864864865,224,25984
53,RH_SalVentAttnB_Ins_1,SalVentAttnB,0.9998075738916257,0.995475113122172,0.9821428571428571,0.9887640449438202,224,25984
54,RH_SalVentAttnB_Ins_2,SalVentAttnB,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
55,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
56,RH_LimbicB_OFC_1,LimbicB,0.9997306034482759,0.9865470852017937,0.9821428571428571,0.9843400447427293,224,25984
57,RH_LimbicB_OFC_2,LimbicB,0.9999230295566502,1.0,0.9910714285714286,0.9955156950672646,224,25984
58,RH_LimbicB_OFC_3,LimbicB,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
59,RH_LimbicB_OFC_4,LimbicB,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
60,RH_LimbicA_TempPole_1,LimbicA,0.9996536330049262,0.9908675799086758,0.96875,0.9796839729119639,224,25984
61,RH_LimbicA_TempPole_2,LimbicA,0.9997306034482759,0.9822222222222222,0.9866071428571429,0.9844097995545658,224,25984
62,RH_LimbicA_TempPole_3,LimbicA,0.999692118226601,0.9821428571428571,0.9821428571428571,0.9821428571428571,224,25984
63,RH_LimbicA_TempPole_4,LimbicA,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
64,RH_ContA_IPS_1,ContA,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
65,RH_ContA_IPS_2,ContA,0.9997306034482759,1.0,0.96875,0.9841269841269841,224,25984
66,RH_ContA_PFCd_1,ContA,0.9998845443349754,0.9955156950672646,0.9910714285714286,0.9932885906040269,224,25984
67,RH_ContA_PFCl_1,ContA,0.9998845443349754,0.9955156950672646,0.9910714285714286,0.9932885906040269,224,25984
68,RH_ContA_PFCl_2,ContA,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
69,RH_ContA_Cingm_1,ContA,0.9997306034482759,0.9737991266375546,0.9955357142857143,0.9845474613686535,224,25984
70,RH_ContB_Temp_1,ContB,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
71,RH_ContB_Temp_2,ContB,0.9997690886699507,0.9954545454545455,0.9776785714285714,0.9864864864864865,224,25984
72,RH_ContB_IPL_1,ContB,0.9997690886699507,1.0,0.9732142857142857,0.9864253393665159,224,25984
73,RH_ContB_IPL_2,ContB,0.9998075738916257,1.0,0.9776785714285714,0.9887133182844243,224,25984
74,RH_ContB_PFCld_1,ContB,0.9998075738916257,0.9910313901345291,0.9866071428571429,0.9888143176733781,224,25984
75,RH_ContB_PFCld_2,ContB,0.9997306034482759,1.0,0.96875,0.9841269841269841,224,25984
76,RH_ContB_PFClv_1,ContB,0.9998845443349754,1.0,0.9866071428571429,0.9932584269662922,224,25984
77,RH_ContB_PFClv_2,ContB,0.9998460591133005,0.9954954954954955,0.9866071428571429,0.9910313901345291,224,25984
78,RH_ContB_PFCmp_1,ContB,0.9998460591133005,1.0,0.9821428571428571,0.990990990990991,224,25984
79,RH_ContB_PFCld_3,ContB,0.9997690886699507,1.0,0.9732142857142857,0.9864253393665159,224,25984
