region_idx,region_name,hemisphere,network,major_network,is_cortical,atlas
0,7Networks_LH_Vis_1,Left,Vis,Visual,True,Schaefer200
1,7Networks_LH_Vis_2,Left,Vis,Visual,True,Schaefer200
2,7Networks_LH_Vis_3,Left,Vis,Visual,True,Schaefer200
3,7Networks_LH_Vis_4,Left,Vis,Visual,True,Schaefer200
4,7Networks_LH_Vis_5,Left,Vis,Visual,True,Schaefer200
5,7Networks_LH_Vis_6,Left,Vis,Visual,True,Schaefer200
6,7Networks_LH_Vis_7,Left,Vis,Visual,True,Schaefer200
7,7Networks_LH_Vis_8,Left,Vis,Visual,True,Schaefer200
8,7Networks_LH_Vis_9,Left,Vis,Visual,True,Schaefer200
9,7Networks_LH_Vis_10,Left,Vis,Visual,True,Schaefer200
10,7Networks_LH_Vis_11,Left,Vis,Visual,True,Schaefer200
11,7Networks_LH_Vis_12,Left,Vis,Visual,True,Schaefer200
12,7Networks_LH_Vis_13,Left,Vis,Visual,True,Schaefer200
13,7Networks_LH_Vis_14,Left,Vis,Visual,True,Schaefer200
14,7Networks_LH_Vis_15,Left,Vis,Visual,True,Schaefer200
15,7Networks_LH_Vis_16,Left,Vis,Visual,True,Schaefer200
16,7Networks_LH_Vis_17,Left,Vis,Visual,True,Schaefer200
17,7Networks_LH_Vis_18,Left,Vis,Visual,True,Schaefer200
18,7Networks_RH_Vis_1,Right,Vis,Visual,True,Schaefer200
19,7Networks_RH_Vis_2,Right,Vis,Visual,True,Schaefer200
20,7Networks_RH_Vis_3,Right,Vis,Visual,True,Schaefer200
21,7Networks_RH_Vis_4,Right,Vis,Visual,True,Schaefer200
22,7Networks_RH_Vis_5,Right,Vis,Visual,True,Schaefer200
23,7Networks_RH_Vis_6,Right,Vis,Visual,True,Schaefer200
24,7Networks_RH_Vis_7,Right,Vis,Visual,True,Schaefer200
25,7Networks_RH_Vis_8,Right,Vis,Visual,True,Schaefer200
26,7Networks_RH_Vis_9,Right,Vis,Visual,True,Schaefer200
27,7Networks_RH_Vis_10,Right,Vis,Visual,True,Schaefer200
28,7Networks_RH_Vis_11,Right,Vis,Visual,True,Schaefer200
29,7Networks_RH_Vis_12,Right,Vis,Visual,True,Schaefer200
30,7Networks_RH_Vis_13,Right,Vis,Visual,True,Schaefer200
31,7Networks_RH_Vis_14,Right,Vis,Visual,True,Schaefer200
32,7Networks_RH_Vis_15,Right,Vis,Visual,True,Schaefer200
33,7Networks_RH_Vis_16,Right,Vis,Visual,True,Schaefer200
34,7Networks_RH_Vis_17,Right,Vis,Visual,True,Schaefer200
35,7Networks_RH_Vis_18,Right,Vis,Visual,True,Schaefer200
36,7Networks_LH_SomMot_1,Left,SomMot,Somatomotor,True,Schaefer200
37,7Networks_LH_SomMot_2,Left,SomMot,Somatomotor,True,Schaefer200
