,Control A,Control B,Control C,Default A,Default B,Default C,DorsAttn A,DorsAttn B,Limbic A,Limbic B,SalVentAttn A,SalVentAttn B,SomMot A,SomMot B,Subcortical,Temporal-Parietal,Vis Central,Vis Peripheral
Control A,3426,29,0,9,11,1,12,17,11,6,20,9,0,1,22,6,2,2
Control B,23,3206,0,17,32,1,4,2,9,11,2,17,0,2,26,7,1,0
Control C,0,0,1327,7,1,1,1,0,1,0,0,2,0,0,2,1,0,1
Default A,6,25,5,2999,22,2,3,0,6,13,1,4,1,2,38,9,0,0
Default B,15,19,0,14,3640,0,2,0,30,24,9,6,0,0,26,22,0,1
Default C,3,7,2,5,2,1290,9,2,3,0,0,0,1,0,12,4,0,4
DorsAttn A,16,11,3,0,0,3,2582,8,12,1,4,2,5,1,18,9,13,0
DorsAttn B,12,0,0,4,1,0,13,2132,1,0,17,3,34,6,12,3,0,2
Limbic A,3,0,0,9,14,1,6,0,1629,15,10,3,1,4,92,3,1,1
Limbic B,2,6,0,23,19,0,0,0,21,1234,1,0,0,0,34,3,1,0
SalVentAttn A,13,3,0,2,4,0,4,11,15,1,3428,8,15,23,45,9,1,2
SalVentAttn B,12,17,1,13,16,0,1,1,2,3,10,2134,0,2,22,5,1,0
SomMot A,2,0,0,0,1,0,3,23,4,2,17,0,4151,12,36,3,0,2
SomMot B,0,2,0,0,3,0,4,2,2,1,25,1,8,3269,26,16,0,1
Subcortical,11,8,1,19,16,1,1,2,85,19,13,2,3,3,6971,4,3,6
Temporal-Parietal,5,1,0,2,28,1,4,0,8,0,6,0,0,9,14,1266,0,0
Vis Central,1,0,0,0,1,0,14,0,3,1,1,0,0,0,11,1,2645,10
Vis Peripheral,1,0,1,0,1,4,4,0,2,0,3,0,0,0,24,0,4,2644
