,Control A,Control B,Control C,Default A,Default B,Default C,DorsAttn A,DorsAttn B,Limbic A,Limbic B,SalVentAttn A,SalVentAttn B,SomMot A,SomMot B,Subcortical,Temporal-Parietal,Vis Central,Vis Peripheral
Control A,2712,97,1,29,24,4,37,40,22,8,43,24,9,3,123,15,4,5
Control B,54,2671,1,31,79,0,9,4,26,17,8,26,0,3,61,7,1,2
Control C,19,20,1043,23,9,6,16,3,7,0,4,4,1,3,26,9,1,6
Default A,19,54,4,2440,67,7,4,3,31,37,4,27,1,1,81,16,1,3
Default B,50,74,0,30,2952,4,1,0,88,46,7,20,0,1,93,32,1,1
Default C,7,2,2,18,4,1072,17,2,14,1,3,0,0,1,37,7,2,11
DorsAttn A,50,12,0,3,4,7,2170,23,20,2,7,2,6,7,45,9,25,8
DorsAttn B,28,0,0,2,3,0,22,1814,5,0,21,2,43,5,47,6,0,2
Limbic A,17,14,0,19,32,4,16,1,1188,51,13,3,1,5,208,19,6,3
Limbic B,5,19,0,20,47,1,1,0,69,962,3,7,1,0,62,2,1,0
SalVentAttn A,37,5,2,9,12,4,21,43,31,5,2696,29,42,55,163,38,2,6
SalVentAttn B,38,51,0,36,23,0,1,5,8,8,41,1710,4,3,55,17,0,0
SomMot A,11,1,0,2,3,3,6,45,6,2,28,3,3574,15,95,2,2,2
SomMot B,6,1,0,10,12,1,10,16,17,7,82,3,40,2585,166,37,1,6
Subcortical,67,45,1,78,70,11,23,16,273,76,87,36,40,40,5440,50,17,30
Temporal-Parietal,13,16,0,18,60,9,16,5,23,4,13,6,3,13,65,927,7,2
Vis Central,9,3,0,3,3,7,32,2,16,1,5,0,6,0,63,5,2218,27
Vis Peripheral,4,1,1,8,5,13,16,2,18,2,8,2,7,6,97,12,29,2169
