,Accumbens,Amygdala,Caudate,Default Mode,Dorsal Attention,Fronto-Parietal,Hippocampus,Limbic,Pallidum,Putamen,Somatomotor,Subcortical,Thalamus Anterior,Thalamus Posterior,Ventral Attention,Visual
Accumbens,839,3,1,0,0,0,1,0,17,1,0,0,1,4,0,0
Amygdala,1,818,0,0,0,0,12,0,10,0,0,0,0,7,0,0
Caudate,6,0,863,0,0,0,0,0,6,4,0,0,4,0,0,0
Default Mode,0,0,0,7974,16,82,0,76,0,0,4,76,0,0,20,5
Dorsal Attention,0,0,0,8,4735,42,0,14,0,0,46,30,0,0,26,15
Fronto-Parietal,0,0,0,80,36,8011,0,38,0,0,3,50,0,0,50,6
Hippocampus,2,26,0,0,0,0,810,0,7,0,0,0,0,15,0,0
Limbic,0,0,0,66,6,11,0,2899,0,0,5,126,0,0,14,3
Pallidum,16,5,0,0,0,0,6,0,830,1,0,0,3,14,0,0
Putamen,5,1,4,0,0,0,0,0,16,865,0,0,1,1,0,0
Somatomotor,0,0,0,4,32,4,0,9,0,0,7440,62,0,0,43,3
Subcortical,0,0,0,36,3,20,0,104,0,0,6,6971,0,0,15,9
Thalamus Anterior,1,2,0,0,0,0,0,0,9,1,0,0,853,14,0,0
Thalamus Posterior,3,8,0,0,0,0,10,0,23,1,0,0,7,813,0,0
Ventral Attention,0,0,0,35,17,46,0,21,0,0,40,67,0,0,5580,4
Visual,0,0,0,6,18,3,0,6,0,0,0,35,0,0,4,5303
