,Accumbens,Amygdala,Caudate,Default Mode,Dorsal Attention,Fronto-Parietal,Hippocampus,Limbic,Pallidum,Putamen,Somatomotor,Subcortical,Thalamus Anterior,Thalamus Posterior,Ventral Attention,Visual
Accumbens,580,14,10,0,0,0,11,0,53,4,0,0,1,21,0,0
Amygdala,6,545,0,0,0,0,22,0,24,2,0,0,5,23,0,0
Caudate,38,2,665,0,0,0,0,0,25,2,0,0,8,3,0,0
Default Mode,0,0,0,6594,27,212,0,217,0,0,4,211,0,0,61,19
Dorsal Attention,0,0,0,19,4029,90,0,27,0,0,61,92,0,0,32,35
Fronto-Parietal,0,0,0,205,109,6618,0,80,0,0,19,210,0,0,109,19
Hippocampus,9,57,4,0,0,0,527,0,16,1,0,0,2,39,0,0
Limbic,0,0,0,123,18,55,0,2270,0,0,7,270,0,0,26,10
Pallidum,43,30,8,0,0,0,23,0,361,14,0,0,17,64,0,0
Putamen,39,2,6,0,0,0,3,0,55,621,0,0,6,18,0,0
Somatomotor,0,0,0,31,77,19,0,32,0,0,6214,261,0,0,116,11
Subcortical,0,0,0,159,39,113,0,349,0,0,80,5440,0,0,123,47
Thalamus Anterior,13,5,3,0,0,0,10,0,36,2,0,0,614,49,0,0
Thalamus Posterior,8,23,4,0,0,0,30,0,83,2,0,0,17,512,0,0
Ventral Attention,0,0,0,84,70,133,0,52,0,0,104,218,0,0,4476,8
Visual,0,0,0,39,52,18,0,37,0,0,19,160,0,0,15,4443
