,Amygdala Lateral,Amygdala Medial,Caudate Anterior,Caudate Posterior,Hippocampus Anterior,Hippocampus Posterior,NAc Core,NAc Shell,Pallidum Anterior,Pallidum Posterior,Putamen Anterior,Putamen Posterior,Thalamus DA,Thalamus DP,Thalamus VA,Thalamus VP
Amygdala Lateral,293,23,0,0,9,12,1,1,0,3,0,1,0,2,0,1
Amygdala Medial,18,346,0,0,13,8,1,1,1,0,0,0,0,7,0,2
Caudate Anterior,0,1,404,18,0,0,6,0,0,0,2,5,1,0,0,0
Caudate Posterior,0,0,10,406,0,0,1,0,2,1,2,1,0,0,3,1
Hippocampus Anterior,8,5,0,0,390,6,0,3,0,0,0,0,0,1,0,0
Hippocampus Posterior,8,6,0,0,14,327,1,3,1,0,0,0,0,8,1,1
NAc Core,0,0,6,5,0,1,375,15,2,1,8,1,2,0,3,0
NAc Shell,2,2,4,3,1,3,28,343,3,2,4,2,1,0,4,0
Pallidum Anterior,2,3,5,12,0,2,14,7,137,52,3,13,18,6,24,15
Pallidum Posterior,4,4,2,0,0,6,3,9,25,186,6,14,18,19,11,11
Putamen Anterior,0,0,1,1,0,0,1,2,1,0,424,9,0,0,0,2
Putamen Posterior,1,0,0,2,0,0,0,0,0,2,3,414,0,1,2,1
Thalamus DA,0,0,0,3,1,2,0,1,0,2,0,6,394,7,4,10
Thalamus DP,5,4,1,0,6,8,0,1,0,3,1,0,7,330,1,13
Thalamus VA,0,0,0,7,0,1,1,1,1,1,0,3,11,1,405,4
Thalamus VP,1,2,0,0,0,2,3,0,1,7,2,2,14,23,6,342
