,Amygdala Lateral,Amygdala Medial,Caudate Anterior,Caudate Posterior,Hippocampus Anterior,Hippocampus Posterior,NAc Core,NAc Shell,Pallidum Anterior,Pallidum Posterior,Putamen Anterior,Putamen Posterior,Thalamus DA,Thalamus DP,Thalamus VA,Thalamus VP
Amygdala Lateral,248,45,0,1,16,11,0,4,1,6,0,1,2,12,0,6
Amygdala Medial,109,214,0,1,15,9,0,5,1,4,1,2,0,9,0,1
Caudate Anterior,0,0,310,47,0,0,10,4,0,0,18,0,0,0,5,0
Caudate Posterior,0,0,81,262,2,0,2,1,1,3,8,7,7,1,11,3
Hippocampus Anterior,31,33,0,0,272,32,0,2,0,0,1,0,0,2,0,0
Hippocampus Posterior,19,23,1,0,32,215,4,5,0,5,0,2,5,27,1,12
NAc Core,0,1,10,3,0,0,270,62,2,3,12,3,3,5,4,4
NAc Shell,4,8,3,1,1,15,93,214,0,3,2,4,2,6,3,3
Pallidum Anterior,8,1,6,9,0,7,22,22,67,63,10,7,18,19,10,15
Pallidum Posterior,18,1,0,5,2,11,2,11,17,130,1,21,11,26,11,30
Putamen Anterior,0,4,6,5,0,0,12,5,1,2,317,29,0,3,2,3
Putamen Posterior,1,2,2,7,3,1,1,1,2,16,27,264,8,3,7,28
Thalamus DA,0,0,0,2,0,0,2,3,3,2,3,0,305,14,11,25
Thalamus DP,6,4,0,0,2,11,0,3,1,9,0,2,14,257,1,50
Thalamus VA,0,3,3,7,2,4,12,8,4,9,0,1,38,9,267,5
Thalamus VP,3,2,1,1,1,1,4,3,1,11,1,9,20,55,7,249
