network,accuracy,error_rate,n_samples
LimbicA,0.8180803571428571,0.1819196428571429,1792
TempPar,0.8549107142857143,0.1450892857142857,1344
LimbicB,0.8645833333333334,0.13541666666666663,1344
ContB,0.8744047619047619,0.1255952380952381,3360
SalVentAttnB,0.875,0.125,2240
DorsAttnB,0.8825892857142857,0.11741071428571426,2240
DorsAttnA,0.8902529761904762,0.10974702380952384,2688
ContA,0.8928571428571429,0.1071428571428571,3584
SalVentAttnA,0.8928571428571429,0.1071428571428571,3584
DefaultB,0.8936449579831933,0.10635504201680668,3808
DefaultA,0.8944515306122449,0.10554846938775508,3136
DefaultC,0.9315476190476191,0.06845238095238093,1344
SomMotB,0.9348214285714286,0.06517857142857142,3360
SomMotA,0.9356203007518797,0.06437969924812026,4256
Subcortical,0.9366629464285714,0.0633370535714286,7168
VisPeri,0.9505208333333334,0.04947916666666663,2688
ContC,0.953125,0.046875,1344
VisCent,0.9557291666666666,0.04427083333333337,2688
