network,accuracy,error_rate,n_samples
Limbic A,0.803125,0.19687500000000002,1600
Temporal-Parietal,0.8491666666666666,0.15083333333333337,1200
Limbic B,0.89,0.10999999999999999,1200
SomMot B,0.892,0.10799999999999998,3000
Subcortical,0.8975,0.10250000000000004,6400
Control A,0.9034375,0.0965625,3200
SalVentAttn A,0.905,0.09499999999999997,3200
Default B,0.9111764705882353,0.08882352941176475,3400
SalVentAttn B,0.918,0.08199999999999996,2000
Vis Peripheral,0.9225,0.07750000000000001,2400
Default A,0.9278571428571428,0.07214285714285718,2800
Control C,0.9308333333333333,0.06916666666666671,1200
DorsAttn A,0.9404166666666667,0.05958333333333332,2400
Control B,0.9436666666666667,0.056333333333333346,3000
Default C,0.9458333333333333,0.054166666666666696,1200
Vis Central,0.9516666666666667,0.04833333333333334,2400
DorsAttn B,0.955,0.04500000000000004,2000
SomMot A,0.9686842105263158,0.031315789473684186,3800
