network,accuracy,error_rate,n_samples
Pallidum,0.5680803571428571,0.4319196428571429,896
Thal_post,0.8002232142857143,0.1997767857142857,896
Amygdala,0.8080357142857143,0.1919642857142857,896
Hippocampus,0.8549107142857143,0.1450892857142857,896
Accumbens,0.8783482142857143,0.1216517857142857,896
Thal_ant,0.8872767857142857,0.1127232142857143,896
Limbic,0.9161352040816326,0.08386479591836737,3136
DorsalAttention,0.9212662337662337,0.07873376623376627,4928
Caudate,0.9341517857142857,0.0658482142857143,896
VentralAttention,0.9364697802197802,0.06353021978021978,5824
Putamen,0.9386160714285714,0.0613839285714286,896
FrontoParietal,0.9488416988416989,0.05115830115830111,8288
DefaultMode,0.9493243243243243,0.05067567567567566,8288
Somatomotor,0.9533876050420168,0.046612394957983194,7616
Subcortical,0.9561941964285714,0.0438058035714286,7168
Visual,0.9774925595238095,0.022507440476190466,5376
