network,accuracy,error_rate,n_samples
Pallidum,0.53875,0.46125000000000005,800
Thalamus Posterior,0.72,0.28,800
Accumbens,0.735,0.265,800
Hippocampus,0.735,0.265,800
Amygdala,0.7375,0.26249999999999996,800
Thalamus Anterior,0.82,0.18000000000000005,800
Putamen,0.835,0.16500000000000004,800
Limbic,0.8628571428571429,0.13714285714285712,2800
Caudate,0.88,0.12,800
Subcortical,0.8975,0.10250000000000004,6400
Ventral Attention,0.9148076923076923,0.08519230769230768,5200
Default Mode,0.9308108108108109,0.06918918918918915,7400
Fronto-Parietal,0.9333783783783783,0.06662162162162166,7400
Somatomotor,0.9382352941176471,0.061764705882352944,6800
Visual,0.9422916666666666,0.05770833333333336,4800
Dorsal Attention,0.9502272727272727,0.0497727272727273,4400
