network,accuracy,error_rate,n_samples
GP_ant,0.08705357142857142,0.9129464285714286,448
GP_post,0.15401785714285715,0.8459821428571428,448
Amyg_lat,0.3549107142857143,0.6450892857142857,448
Hip_post,0.43080357142857145,0.5691964285714286,448
Thal_DP,0.48660714285714285,0.5133928571428572,448
NAc_shell,0.5491071428571429,0.4508928571428571,448
Thal_VP,0.5691964285714286,0.4308035714285714,448
NAc_core,0.6584821428571429,0.3415178571428571,448
Amyg_med,0.6629464285714286,0.3370535714285714,448
Thal_DA,0.7366071428571429,0.2633928571428571,448
Caud_post,0.7857142857142857,0.2142857142857143,448
Hip_ant,0.8058035714285714,0.1941964285714286,448
Put_post,0.8236607142857143,0.1763392857142857,448
Thal_VA,0.8415178571428571,0.1584821428571429,448
Caud_ant,0.8549107142857143,0.1450892857142857,448
Put_ant,0.921875,0.078125,448
