network,accuracy,error_rate,n_samples
Pallidum Anterior,0.325,0.675,400
Pallidum Posterior,0.45,0.55,400
NAc Shell,0.6325,0.36750000000000005,400
Amygdala Lateral,0.635,0.365,400
Hippocampus Posterior,0.6375,0.36250000000000004,400
Thalamus VP,0.6525,0.34750000000000003,400
Thalamus DP,0.6775,0.3225,400
NAc Core,0.775,0.22499999999999998,400
Amygdala Medial,0.7775,0.22250000000000003,400
Putamen Posterior,0.7975,0.2025,400
Hippocampus Anterior,0.8075,0.1925,400
Thalamus DA,0.81,0.18999999999999995,400
Thalamus VA,0.83,0.17000000000000004,400
Caudate Posterior,0.85,0.15000000000000002,400
Putamen Anterior,0.8725,0.12749999999999995,400
Caudate Anterior,0.9025,0.09750000000000003,400
