region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
aGP-rh,0.3928571428571429,0.78,0.3871428571428571
RH_SalVentAttnA_PrC_1,0.2053571428571429,0.5549999999999999,0.34964285714285703
aGP-lh,0.4642857142857143,0.765,0.3007142857142857
RH_ContA_PFCl_1,0.0535714285714286,0.345,0.29142857142857137
LH_ContA_PFClv_1,0.0714285714285714,0.30500000000000005,0.23357142857142865
THA-VA-rh,0.0714285714285714,0.29500000000000004,0.22357142857142864
LH_SalVentAttnA_FrOper_2,0.0714285714285714,0.29500000000000004,0.22357142857142864
RH_ContC_pCun_2,0.0535714285714286,0.265,0.2114285714285714
LH_ContA_Cingm_1,0.049107142857142905,0.26,0.2108928571428571
LH_DefaultB_Temp_3,0.0669642857142857,0.275,0.20803571428571432
RH_ContA_Cingm_1,0.0625,0.27,0.20750000000000002
pGP-lh,0.3839285714285714,0.5900000000000001,0.20607142857142868
RH_LimbicA_TempPole_2,0.2098214285714286,0.41500000000000004,0.20517857142857143
lAMY-rh,0.2678571428571429,0.47,0.20214285714285707
LH_SomMotB_S2_1,0.0625,0.26,0.1975
NAc-shell-rh,0.1696428571428571,0.365,0.1953571428571429
pHIP-lh,0.2098214285714286,0.405,0.19517857142857142
RH_DorsAttnA_SPL_4,0.0401785714285714,0.235,0.1948214285714286
RH_DorsAttnA_SPL_3,0.044642857142857095,0.235,0.1903571428571429
RH_DefaultB_AntTemp_1,0.1116071428571429,0.29500000000000004,0.18339285714285714
RH_DorsAttnB_FEF_1,0.1071428571428571,0.29000000000000004,0.18285714285714294
THA-VA-lh,0.0803571428571429,0.26,0.1796428571428571
aHIP-rh,0.1071428571428571,0.28500000000000003,0.17785714285714294
pPUT-lh,0.0625,0.24,0.1775
pGP-rh,0.3928571428571429,0.5700000000000001,0.17714285714285716
LH_ContA_PFCl_2,0.09375,0.27,0.17625000000000002
RH_TempPar_1,0.1026785714285714,0.275,0.17232142857142863
LH_SomMotB_Aud_1,0.0892857142857143,0.26,0.1707142857142857
RH_ContB_PFCld_1,0.1294642857142857,0.30000000000000004,0.17053571428571435
RH_SomMotB_S2_1,0.044642857142857095,0.21499999999999997,0.17035714285714287
NAc-core-lh,0.125,0.29500000000000004,0.17000000000000004
