region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
aGP-rh,0.1116071428571429,0.87,0.7583928571428571
aGP-lh,0.15625,0.885,0.72875
RH_SalVentAttnA_PrC_1,0.0,0.69,0.69
RH_SomMotB_S2_1,0.0,0.685,0.685
pGP-lh,0.125,0.77,0.645
RH_SomMotB_S2_4,0.0,0.63,0.63
pGP-rh,0.0848214285714286,0.7,0.6151785714285714
lAMY-rh,0.0,0.615,0.615
THA-VP-lh,0.004464285714285698,0.615,0.6105357142857143
mAMY-rh,0.0,0.605,0.605
NAc-shell-lh,0.0,0.605,0.605
RH_TempPar_2,0.0,0.595,0.595
RH_DorsAttnA_SPL_4,0.0,0.575,0.575
LH_ContA_PFCl_2,0.0,0.5700000000000001,0.5700000000000001
LH_DorsAttnB_PostC_1,0.0,0.5700000000000001,0.5700000000000001
RH_SomMotB_Aud_1,0.0,0.5700000000000001,0.5700000000000001
RH_ContB_PFCld_1,0.0,0.565,0.565
THA-VP-rh,0.0,0.565,0.565
THA-DP-lh,0.004464285714285698,0.565,0.5605357142857142
RH_VisPeri_ExStrSup_1,0.0,0.56,0.56
LH_VisCent_ExStr_3,0.0,0.5549999999999999,0.5549999999999999
pHIP-rh,0.0,0.5549999999999999,0.5549999999999999
NAc-shell-rh,0.0,0.5449999999999999,0.5449999999999999
THA-DP-rh,0.004464285714285698,0.5449999999999999,0.5405357142857142
RH_SalVentAttnA_ParMed_1,0.0,0.54,0.54
RH_SomMotB_S2_3,0.0,0.5349999999999999,0.5349999999999999
LH_ContB_PFCl_1,0.0,0.5349999999999999,0.5349999999999999
LH_DefaultB_Temp_3,0.0,0.53,0.53
LH_LimbicA_TempPole_1,0.0,0.525,0.525
RH_SalVentAttnA_Ins_1,0.0,0.52,0.52
mAMY-lh,0.017857142857142905,0.5349999999999999,0.517142857142857
LH_LimbicA_TempPole_3,0.0,0.51,0.51
RH_SomMotB_S2_2,0.0,0.505,0.505
RH_LimbicA_TempPole_2,0.0,0.505,0.505
LH_DefaultB_PFCv_4,0.0,0.5,0.5
LH_ContA_PFClv_1,0.0,0.5,0.5
pHIP-lh,0.0,0.495,0.495
LH_SomMotA_3,0.0,0.495,0.495
LH_ContA_IPS_2,0.0,0.495,0.495
lAMY-lh,0.03125,0.525,0.49375
LH_SalVentAttnA_FrOper_1,0.0,0.49,0.49
