region_index,region_name,misclassification_rate,n_samples
211,aGP-rh,0.895,200
227,aGP-lh,0.81,200
142,RH_SalVentAttnA_PrC_1,0.73,200
226,pGP-lh,0.725,200
210,pGP-rh,0.635,200
174,RH_ContB_PFCld_1,0.625,200
135,RH_DorsAttnA_SPL_4,0.595,200
63,LH_ContA_PFCl_2,0.585,200
128,RH_SomMotB_S2_4,0.585,200
197,RH_TempPar_2,0.585,200
14,LH_SomMotA_3,0.5800000000000001,200
33,LH_DorsAttnA_SPL_3,0.56,200
42,LH_SalVentAttnA_FrOper_2,0.56,200
34,LH_DorsAttnB_PostC_1,0.56,200
125,RH_SomMotB_S2_1,0.56,200
84,LH_DefaultB_Temp_3,0.5349999999999999,200
126,RH_SomMotB_S2_2,0.525,200
167,RH_ContA_PFCl_1,0.525,200
15,LH_SomMotA_4,0.515,200
196,RH_TempPar_1,0.515,200
224,NAc-shell-lh,0.51,200
78,LH_DefaultA_pCunPCC_3,0.51,200
61,LH_ContA_PFClv_1,0.505,200
145,RH_SalVentAttnA_FrOper_1,0.5,200
140,RH_DorsAttnB_FEF_1,0.49,200
136,RH_DorsAttnB_PostC_1,0.49,200
201,pHIP-rh,0.49,200
3,LH_VisCent_ExStr_3,0.48,200
116,RH_SomMotA_5,0.48,200
203,mAMY-rh,0.475,200
77,LH_DefaultA_pCunPCC_2,0.46499999999999997,200
198,RH_TempPar_3,0.46499999999999997,200
219,mAMY-lh,0.46499999999999997,200
208,NAc-shell-rh,0.45499999999999996,200
181,RH_ContC_pCun_2,0.45499999999999996,200
85,LH_DefaultB_Temp_4,0.45499999999999996,200
40,LH_SalVentAttnA_Ins_1,0.45499999999999996,200
127,RH_SomMotB_S2_3,0.45499999999999996,200
161,RH_LimbicA_TempPole_2,0.44999999999999996,200
59,LH_ContA_IPS_3,0.44999999999999996,200
147,RH_SalVentAttnA_ParMed_1,0.44999999999999996,200
134,RH_DorsAttnA_SPL_3,0.44999999999999996,200
