,Accumbens,Amygdala,Caudate,DefaultMode,DorsalAttention,FrontoParietal,Hippocampus,Limbic,Pallidum,Putamen,Somatomotor,Thal_ant,Thal_post,VentralAttention,Visual
Accumbens,-0.04730921901141705,-0.027539208821280445,-0.018743311331469142,-0.0011942553777655393,0.011640304187021416,0.00665662980543177,-0.005986883038546914,-0.01862794627479912,-0.04479157983720737,-0.03355292344218658,0.0012417953177685436,-0.01450559101701962,-0.004442008302474928,0.0005622914830527778,0.009182390503084309
Amygdala,-0.027539208821280442,-0.04494059058035671,0.011986346236369592,-0.025526897566768552,0.00729965828861725,0.00654843317144458,-0.044403111812833324,-0.010110124316138919,-0.0018424614171949766,0.005660860585870887,-0.02075270896477304,0.015038594926658693,-0.006936886729849094,0.00972376655695481,0.027340471770305484
Caudate,-0.018743311331469115,0.0119863462363696,-0.05394453931010923,-0.004356706129185782,0.010692505250655723,-0.008576418477504094,0.030270593576086954,-0.003687284344344634,-0.06361492031673129,-0.08164676587460931,0.02199994650108491,-0.04385880426491609,0.002050371195341332,-0.020773020792379554,0.0023335245299292706
DefaultMode,-0.0011942553777655324,-0.025526897566768555,-0.004356706129185782,-0.008484099355836272,0.011343890460119882,-0.009409656118848916,-0.02201243931321893,-0.006988222082297296,0.015079258086471392,-0.0008047731582941711,-0.0023563095704225434,-0.004815644955918606,-0.017646486873770628,0.006598982734941486,0.03404210925567924
DorsalAttention,0.011640304187021416,0.007299658288617249,0.01069250525065571,0.011343890460119882,-0.025621881456998286,0.0034256296467144783,0.009519037406176052,0.0017610142921522937,0.011651627809920465,0.01683421478044877,-0.002599598945713405,0.025470501582983043,0.008224772058061505,0.014075697568022669,-0.00436851965042144
FrontoParietal,0.00665662980543177,0.006548433171444573,-0.008576418477504087,-0.009409656118848916,0.0034256296467144697,-0.003374755171138555,-0.016198375167755748,-0.0003135070464236403,-0.007955174640503253,-0.020727868649536855,-0.005070625421003144,-0.005078590479579721,-0.0033481060273765437,-0.01301178160872685,0.01986941876922911
Hippocampus,-0.005986883038546914,-0.04440311181283338,0.030270593576086947,-0.022012439313218904,0.009519037406176031,-0.016198375167755755,-0.06742708420787547,-0.019338991995671267,0.017082307186341107,0.04932552222710172,-0.011718742333844637,0.008801624003347618,-0.029929753383902802,0.0318887986444321,0.024657949978766566
Limbic,-0.01862794627479912,-0.010110124316138905,-0.003687284344344632,-0.006988222082297296,0.0017610142921523075,-0.00031350704642363857,-0.01933899199567124,-0.007989220417845944,-0.0015868406204412946,-0.012254803608202358,-0.0012030171908416556,-0.003448980134707378,-0.010729967039767134,-0.004391213889344485,0.018286138239504923
Pallidum,-0.04479157983720737,-0.0018424614171949766,-0.0636149203167313,0.015079258086471396,0.011651627809920469,-0.00795517464050325,0.01708230718634111,-0.0015868406204412946,-0.10007951884662238,-0.050618866681589256,0.015720157750783472,-0.054194454982898335,-0.023731359584913545,-0.0158177184641825,-0.004538656452416563
Putamen,-0.03355292344218655,0.00566086058587088,-0.08164676587460931,-0.0008047731582941711,0.01683421478044877,-0.020727868649536855,0.04932552222710172,-0.012254803608202365,-0.050618866681589256,-0.11402204583852293,0.0348914156915571,-0.066981945328665,0.02493493740651636,-0.03826008853575788,0.031674215338781106
Somatomotor,0.0012417953177685454,-0.020752708964773048,0.02199994650108491,-0.0023563095704225573,-0.002599598945713419,-0.005070625421003144,-0.01171874233384463,-0.0012030171908416556,0.015720157750783472,0.034891415691557084,-0.05660459161770498,0.021951588067863417,0.0035463567085508158,-0.006374998502828494,0.021036532084173325
Thal_ant,-0.01450559101701962,0.0150385949266587,-0.04385880426491606,-0.004815644955918609,0.02547050158298304,-0.0050785904795797275,0.008801624003347625,-0.003448980134707373,-0.05419445498289835,-0.06698194532866497,0.02195158806786342,-0.10146106791030529,-0.0337348356938908,-0.01463693242239364,0.004133553128122511
Thal_post,-0.004442008302474926,-0.006936886729849087,0.0020503711953413287,-0.017646486873770628,0.008224772058061519,-0.0033481060273765455,-0.029929753383902802,-0.010729967039767134,-0.023731359584913552,0.024934937406516366,0.0035463567085508158,-0.0337348356938908,-0.03220651116979856,0.007910249744628034,0.015197451931936348
VentralAttention,0.0005622914830527778,0.00972376655695481,-0.020773020792379554,0.006598982734941486,0.014075697568022669,-0.01301178160872685,0.031888798644432115,-0.004391213889344485,-0.01581771846418247,-0.03826008853575788,-0.0063749985028285355,-0.014636932422393611,0.007910249744628034,-0.0257576485119953,-0.001664852174232111
Visual,0.009182390503084295,0.027340471770305477,0.0023335245299292845,0.034042109255679256,-0.004368519650421468,0.01986941876922911,0.02465794997876658,0.018286138239504923,-0.004538656452416562,0.031674215338781106,0.021036532084173325,0.004133553128122511,0.015197451931936352,-0.001664852174232112,-0.012483146111699817
