,Accumbens,Amygdala,Caudate,DefaultMode,DorsalAttention,FrontoParietal,Hippocampus,Limbic,Pallidum,Putamen,Somatomotor,Thal_ant,Thal_post,VentralAttention,Visual
Accumbens,-0.047309219011417214,-0.027539208821280445,-0.018743311331469115,-0.0011942553777655324,0.011640304187021416,0.006656629805431768,-0.005986883038546914,-0.018627946274799113,-0.04479157983720737,-0.03355292344218658,0.0012417953177685454,-0.01450559101701962,-0.004442008302474928,0.0005622914830527778,0.009182390503084309
Amygdala,-0.02753920882128044,-0.044940590580356654,0.0119863462363696,-0.025526897566768555,0.007299658288617249,0.006548433171444559,-0.04440311181283335,-0.010110124316138919,-0.0018424614171949766,0.005660860585870883,-0.020752708964773048,0.015038594926658697,-0.006936886729849094,0.00972376655695481,0.027340471770305484
Caudate,-0.018743311331469115,0.011986346236369592,-0.05394453931010934,-0.004356706129185782,0.01069250525065571,-0.00857641847750408,0.030270593576086947,-0.0036872843443446312,-0.0636149203167313,-0.08164676587460926,0.021999946501084916,-0.04385880426491606,0.002050371195341332,-0.020773020792379554,0.0023335245299292984
DefaultMode,-0.0011942553777655324,-0.025526897566768552,-0.004356706129185782,-0.008484099355836272,0.011343890460119882,-0.009409656118848917,-0.022012439313218904,-0.006988222082297282,0.015079258086471394,-0.0008047731582941711,-0.0023563095704225573,-0.004815644955918609,-0.01764648687377063,0.006598982734941458,0.034042109255679284
DorsalAttention,0.011640304187021416,0.00729965828861725,0.010692505250655696,0.011343890460119854,-0.02562188145699834,0.003425629646714473,0.009519037406176052,0.0017610142921522937,0.011651627809920467,0.016834214780448775,-0.002599598945713419,0.02547050158298304,0.008224772058061498,0.014075697568022669,-0.004368519650421454
FrontoParietal,0.006656629805431766,0.00654843317144458,-0.008576418477504094,-0.00940965611884891,0.0034256296467144766,-0.003374755171138555,-0.016198375167755748,-0.00031350704642363683,-0.00795517464050325,-0.02072786864953685,-0.005070625421003172,-0.0050785904795797275,-0.0033481060273765455,-0.013011781608726845,0.01986941876922911
Hippocampus,-0.005986883038546914,-0.044403111812833324,0.030270593576086947,-0.022012439313218904,0.009519037406176038,-0.016198375167755748,-0.06742708420787547,-0.019338991995671267,0.017082307186341107,0.04932552222710172,-0.011718742333844623,0.008801624003347617,-0.029929753383902774,0.03188879864443213,0.02465794997876658
Limbic,-0.01862794627479912,-0.010110124316138919,-0.003687284344344632,-0.006988222082297282,0.0017610142921523075,-0.0003135070464236403,-0.019338991995671267,-0.007989220417845944,-0.0015868406204412946,-0.012254803608202358,-0.0012030171908416556,-0.0034489801347073815,-0.010729967039767132,-0.004391213889344485,0.018286138239504923
Pallidum,-0.04479157983720737,-0.0018424614171949766,-0.0636149203167313,0.015079258086471396,0.011651627809920467,-0.007955174640503252,0.01708230718634111,-0.0015868406204412946,-0.1000795188466224,-0.05061886668158927,0.015720157750783476,-0.05419445498289834,-0.023731359584913556,-0.015817718464182486,-0.004538656452416563
Putamen,-0.03355292344218655,0.005660860585870887,-0.08164676587460937,-0.0008047731582941711,0.01683421478044877,-0.02072786864953684,0.04932552222710172,-0.012254803608202365,-0.050618866681589256,-0.11402204583852299,0.03489141569155711,-0.066981945328665,0.024934937406516353,-0.03826008853575788,0.03167421533878111
Somatomotor,0.0012417953177685436,-0.02075270896477304,0.021999946501084916,-0.0023563095704225573,-0.002599598945713419,-0.005070625421003158,-0.01171874233384463,-0.0012030171908416556,0.015720157750783476,0.03489141569155711,-0.056604591617704925,0.021951588067863417,0.0035463567085508296,-0.006374998502828522,0.021036532084173325
Thal_ant,-0.014505591017019634,0.015038594926658693,-0.04385880426491609,-0.0048156449559186056,0.02547050158298304,-0.0050785904795797275,0.008801624003347618,-0.0034489801347073763,-0.054194454982898335,-0.066981945328665,0.021951588067863417,-0.10146106791030512,-0.0337348356938908,-0.014636932422393653,0.004133553128122511
Thal_post,-0.004442008302474928,-0.006936886729849094,0.002050371195341334,-0.017646486873770618,0.008224772058061498,-0.003348106027376547,-0.029929753383902788,-0.010729967039767134,-0.023731359584913556,0.02493493740651636,0.0035463567085508158,-0.0337348356938908,-0.03220651116979867,0.007910249744628034,0.015197451931936352
VentralAttention,0.0005622914830527778,0.00972376655695481,-0.020773020792379554,0.006598982734941486,0.014075697568022669,-0.013011781608726845,0.031888798644432115,-0.004391213889344485,-0.015817718464182486,-0.03826008853575788,-0.006374998502828494,-0.01463693242239364,0.00791024974462802,-0.0257576485119953,-0.0016648521742321117
Visual,0.009182390503084309,0.027340471770305484,0.0023335245299292845,0.034042109255679284,-0.004368519650421454,0.01986941876922911,0.02465794997876658,0.018286138239504923,-0.004538656452416561,0.031674215338781106,0.02103653208417333,0.004133553128122497,0.015197451931936352,-0.0016648521742321102,-0.012483146111699983
