,Accumbens,Amygdala,Caudate,DefaultMode,DorsalAttention,FrontoParietal,Hippocampus,Limbic,Pallidum,Putamen,Somatomotor,Thal_ant,Thal_post,VentralAttention,Visual
Accumbens,0.3698198356802078,0.01332741446162999,0.1896268664747493,0.033402187889141864,-0.033669486264452785,-0.00755086281349984,0.047080734344245354,0.047625628632999524,0.018875017391457513,0.14418982028451605,-0.0046377190218601875,0.08247036733476255,0.013732121500903052,0.03723987291970904,-0.04119019426918608
Amygdala,0.01332741446162999,0.34125976706915484,-0.04909797704349801,0.0014113065958784063,0.009382940598711427,-0.05304590198739809,0.1921523647053025,0.11765482420466403,-0.012114462089412574,0.02515942641099698,0.043464355675428806,-0.025693147441681177,0.051158544198745125,-0.039738196116483396,-0.0022763236728486386
Caudate,0.1896268664747493,-0.04909797704349801,0.5030830445665851,0.02974673286210247,-0.06883712784644969,0.039702369570877534,-0.04964872118697477,0.0019656445158366645,0.022641108751309338,0.23117539780668253,-0.05404810401567178,0.16203122549980625,-0.009733994788711826,0.07742212889404773,-0.12043926940534078
DefaultMode,0.033402187889141864,0.001411306595878408,0.02974673286210247,0.20006984661552535,-0.1579596742611165,0.01143332101375555,0.09176520353123496,0.08298053057736146,-0.010178526418243423,-0.05641197224380066,-0.07857848148523103,-0.003668969840025559,-0.035801511299539186,-0.10349030218306429,-0.10181245957855627
DorsalAttention,-0.033669486264452785,0.009382940598711427,-0.0688371278464497,-0.15795967426111654,0.2839812671428339,0.014321245788639227,-0.05042630250258589,-0.066667627078744,0.0026764911293790067,0.02239336613056488,0.09200249842781519,0.0009527455798176255,0.06280195433588943,0.09974097826231129,0.10397182637887556
FrontoParietal,-0.0075508628134998415,-0.05304590198739809,0.039702369570877534,0.011433321013755557,0.01432124578863923,0.13310773835854722,-0.04861388047739453,-0.010411833738218511,-0.01483817961685709,-0.047164032871187596,-0.07746879895589999,0.01962574157068978,-0.01685556377451971,-0.0001367321001977616,-0.08568368269216803
Hippocampus,0.047080734344245354,0.1921523647053025,-0.04964872118697477,0.09176520353123496,-0.0504263025025859,-0.04861388047739453,0.34765258613725897,0.12081301920744211,-0.026049733898968384,-0.013192579488572847,0.04006970009556257,-0.014712871906680183,0.07166095210501519,-0.08189273456621349,-0.031445677709680896
Limbic,0.04762562863299952,0.11765482420466403,0.0019656445158366645,0.08298053057736146,-0.066667627078744,-0.010411833738218511,0.12081301920744211,0.1830730506142156,-0.014998202856044184,-0.03544268188875783,-0.03517988084007758,-0.015291661878535418,0.007458292587845741,-0.06466049509583487,-0.07264328289206476
Pallidum,0.018875017391457513,-0.012114462089412574,0.02264110875130934,-0.010178526418243425,0.0026764911293790067,-0.01483817961685709,-0.02604973389896838,-0.014998202856044184,0.09991531023093102,0.09133683554398214,0.025968271084716915,0.05366287030298631,0.027999130984631505,0.058589411869419177,-0.00023020516810988925
Putamen,0.14418982028451605,0.02515942641099698,0.23117539780668253,-0.05641197224380066,0.022393366130564876,-0.04716403287118759,-0.013192579488572847,-0.035442681888757835,0.09133683554398216,0.45574184635323095,0.11352781660083225,0.11158578503323449,0.08540262230390022,0.12099636922045323,-0.02055940025420433
Somatomotor,-0.004637719021860188,0.04346435567542881,-0.05404810401567178,-0.07857848148523103,0.09200249842781519,-0.07746879895589999,0.04006970009556257,-0.035179880840077574,0.025968271084716915,0.11352781660083225,0.25926128349143895,0.015025340680093022,0.07627638493904952,0.10152395275101807,0.031613099196451826
Thal_ant,0.08247036733476255,-0.02569314744168118,0.16203122549980625,-0.003668969840025559,0.0009527455798176265,0.01962574157068978,-0.014712871906680181,-0.015291661878535413,0.05366287030298632,0.11158578503323449,0.015025340680093022,0.377405804886062,0.1540321446403704,0.0924917564730139,-0.06330280704043122
Thal_post,0.013732121500903052,0.051158544198745125,-0.009733994788711826,-0.03580151129953918,0.06280195433588943,-0.01685556377451971,0.07166095210501518,0.007458292587845738,0.027999130984631505,0.08540262230390022,0.07627638493904951,0.1540321446403704,0.3347896295901584,0.044313002905425725,0.033820105214585096
VentralAttention,0.037239872919709045,-0.039738196116483396,0.07742212889404773,-0.10349030218306429,0.09974097826231129,-0.00013673210019775976,-0.08189273456621349,-0.06466049509583487,0.05858941186941919,0.12099636922045323,0.10152395275101807,0.09249175647301391,0.04431300290542571,0.2671503092697185,-0.0003862613099553053
Visual,-0.04119019426918608,-0.0022763236728486395,-0.12043926940534078,-0.10181245957855627,0.10397182637887555,-0.08568368269216803,-0.031445677709680896,-0.07264328289206476,-0.0002302051681098907,-0.020559400254204333,0.03161309919645183,-0.06330280704043122,0.033820105214585096,-0.0003862613099553039,0.3776557460688213
