,Accumbens,Amygdala,Caudate,DefaultMode,DorsalAttention,FrontoParietal,Hippocampus,Limbic,Pallidum,Putamen,Somatomotor,Thal_ant,Thal_post,VentralAttention,Visual
Accumbens,0.41712905469162503,0.040866623282910436,0.20837017780621842,0.034596443266907397,-0.0453097904514742,-0.014207492618931608,0.05306761738279227,0.06625357490779864,0.06366659722866488,0.17774274372670262,-0.005879514339628733,0.09697595835178217,0.01817412980337798,0.03667758143665626,-0.05037258477227039
Amygdala,0.04086662328291043,0.3862003576495115,-0.06108432327986761,0.026938204162646962,0.002083282310094178,-0.05959433515884265,0.23655547651813585,0.12776494852080295,-0.010272000672217597,0.0194985658251261,0.06421706464020185,-0.040731742368339874,0.05809543092859422,-0.049461962673438206,-0.029616795443154122
Caudate,0.20837017780621842,-0.061084323279867604,0.5570275838766945,0.03410343899128825,-0.0795296330971054,0.048278788048381614,-0.07991931476306172,0.005652928860181296,0.08625602906804064,0.3128221636812918,-0.0760480505167567,0.20589002976472232,-0.011784365984053158,0.09819514968642729,-0.12277279393527007
DefaultMode,0.034596443266907397,0.02693820416264696,0.03410343899128825,0.20855394597136162,-0.1693035647212364,0.020842977132604468,0.11377764284445387,0.08996875265965874,-0.025257784504714817,-0.05560719908550649,-0.07622217191480847,0.0011466751158930497,-0.018155024425768555,-0.11008928491800575,-0.13585456883423555
DorsalAttention,-0.0453097904514742,0.002083282310094177,-0.0795296330971054,-0.1693035647212364,0.30960314859983223,0.010895616141924754,-0.05994533990876194,-0.0684286413708963,-0.00897513668054146,0.0055591513501161045,0.0946020973735286,-0.024517756003165414,0.054577182277827936,0.08566528069428862,0.10834034602929701
FrontoParietal,-0.014207492618931608,-0.05959433515884267,0.04827878804838163,0.020842977132604468,0.010895616141924754,0.13648249352968578,-0.032415505309638784,-0.010098326691794874,-0.0068830049763538405,-0.026436164221650744,-0.07239817353489682,0.024704332050269506,-0.013507457747143164,0.012875049508529083,-0.10555310146139714
Hippocampus,0.05306761738279227,0.23655547651813583,-0.07991931476306172,0.11377764284445387,-0.05994533990876194,-0.032415505309638784,0.41507967034513443,0.14015201120311338,-0.04313204108530949,-0.06251810171567457,0.051788442429407194,-0.0235144959100278,0.10159070548891797,-0.11378153321064562,-0.056103627688447476
Limbic,0.06625357490779864,0.12776494852080295,0.005652928860181297,0.08996875265965874,-0.06842864137089631,-0.010098326691794871,0.14015201120311338,0.19106227103206155,-0.01341136223560289,-0.02318787828055547,-0.033976863649235925,-0.011842681743828036,0.018188259627612873,-0.06026928120649038,-0.09092942113156968
Pallidum,0.06366659722866488,-0.010272000672217597,0.08625602906804064,-0.02525778450471482,-0.00897513668054146,-0.006883004976353838,-0.04313204108530949,-0.01341136223560289,0.19999482907755342,0.1419557022255714,0.010248113333933438,0.10785732528588465,0.05173049056954506,0.07440713033360166,0.004308451284306673
Putamen,0.1777427437267026,0.019498565825126095,0.3128221636812919,-0.05560719908550649,0.005559151350116104,-0.026436164221650748,-0.06251810171567457,-0.02318787828055547,0.1419557022255714,0.5697638921917539,0.07863640090927514,0.1785677303618995,0.06046768489738387,0.1592564577562111,-0.05223361559298544
Somatomotor,-0.005879514339628732,0.06421706464020185,-0.0760480505167567,-0.07622217191480847,0.0946020973735286,-0.07239817353489683,0.0517884424294072,-0.03397686364923592,0.010248113333933441,0.07863640090927514,0.3158658751091439,-0.0069262473877703965,0.07273002823049869,0.10789895125384659,0.010576567112278501
Thal_ant,0.09697595835178219,-0.040731742368339874,0.20589002976472234,0.0011466751158930469,-0.024517756003165414,0.024704332050269506,-0.0235144959100278,-0.011842681743828036,0.10785732528588465,0.1785677303618995,-0.006926247387770396,0.47886687279636714,0.1877669803342612,0.10712868889540755,-0.06743636016855373
Thal_post,0.01817412980337798,0.05809543092859422,-0.01178436598405316,-0.01815502442576856,0.054577182277827936,-0.013507457747143162,0.10159070548891797,0.018188259627612873,0.05173049056954506,0.06046768489738386,0.07273002823049869,0.1877669803342612,0.36699614075995707,0.03640275316079769,0.018622653282648744
VentralAttention,0.03667758143665627,-0.049461962673438206,0.09819514968642729,-0.11008928491800578,0.08566528069428862,0.012875049508529085,-0.1137815332106456,-0.06026928120649038,0.07440713033360168,0.1592564577562111,0.10789895125384656,0.10712868889540755,0.03640275316079769,0.2929079577817138,0.0012785908642768064
Visual,-0.05037258477227039,-0.029616795443154122,-0.12277279393527006,-0.13585456883423555,0.108340346029297,-0.10555310146139714,-0.056103627688447476,-0.09092942113156968,0.004308451284306671,-0.05223361559298544,0.0105765671122785,-0.06743636016855371,0.018622653282648744,0.0012785908642768064,0.3901388921805213
