region_i,region_j,network_i,network_j,rest_connectivity,task_connectivity,change,abs_change,pct_change
aGP-rh,pGP-rh,Pallidum,Pallidum,0.2536495110581941,0.09493977271766985,-0.15870973834052426,0.15870973834052426,-62.570488576306346
aPUT-lh,pPUT-lh,Putamen,Putamen,0.5392686418914286,0.3849460028311148,-0.15432263906031385,0.15432263906031385,-28.61702444240838
THA-VA-lh,pPUT-lh,Thal_ant,Putamen,0.2469658519732172,0.1037419214103274,-0.1432239305628898,0.1432239305628898,-57.99341464358484
THA-DA-rh,THA-VA-rh,Thal_ant,Thal_ant,0.47143386938603976,0.3310469507647501,-0.14038691862128966,0.14038691862128966,-29.778708688053978
aCAU-lh,pPUT-lh,Caudate,Putamen,0.23981231103141246,0.09974553273950842,-0.14006677829190403,0.14006677829190403,-58.406833948385994
THA-DA-lh,THA-VA-lh,Thal_ant,Thal_ant,0.4289049218857802,0.2898308482683043,-0.13907407361747592,0.13907407361747592,-32.42538532922505
THA-DA-rh,THA-VA-lh,Thal_ant,Thal_ant,0.3406501223502895,0.20377989596376905,-0.13687022638652047,0.13687022638652047,-40.1791214522968
aGP-lh,pGP-lh,Pallidum,Pallidum,0.262979724012571,0.12986558628890874,-0.1331141377236623,0.1331141377236623,-50.61764294698976
THA-VA-lh,THA-VP-lh,Thal_ant,Thal_post,0.23469919893721883,0.10671659337565964,-0.1279826055615592,0.1279826055615592,-54.5304824818742
aPUT-rh,pPUT-rh,Putamen,Putamen,0.5785282474665766,0.4553711847583436,-0.12315706270823301,0.12315706270823301,-21.287994708564025
aPUT-lh,pPUT-rh,Putamen,Putamen,0.4792084898243312,0.35618365530694435,-0.12302483451738683,0.12302483451738683,-25.672507296873103
THA-VA-rh,pPUT-lh,Thal_ant,Putamen,0.22979760414271883,0.1113375503084129,-0.11846005383430593,0.11846005383430593,-51.549734069783746
aCAU-rh,pPUT-lh,Caudate,Putamen,0.23313545964428548,0.11772629138372691,-0.11540916826055857,0.11540916826055857,-49.503052189764745
THA-VA-lh,pPUT-rh,Thal_ant,Putamen,0.20046149914310027,0.08929210982645877,-0.1111693893166415,0.1111693893166415,-55.45672849492299
pPUT-lh,pPUT-rh,Putamen,Putamen,0.6374031648253132,0.5263345471510658,-0.11106861767424747,0.11106861767424747,-17.425175117335186
THA-VA-lh,aGP-lh,Thal_ant,Pallidum,0.18100710043662163,0.0708518375487741,-0.11015526288784754,0.11015526288784754,-60.856873913859324
THA-VA-lh,aPUT-lh,Thal_ant,Putamen,0.23772938678094607,0.12802610176733553,-0.10970328501361054,0.10970328501361054,-46.1462869606002
aPUT-rh,pPUT-lh,Putamen,Putamen,0.4778439421533633,0.37120413719516243,-0.10663980495820086,0.10663980495820086,-22.316868657503033
NAc-core-rh,aGP-rh,Accumbens,Pallidum,0.14376063247407478,0.03813509339718025,-0.10562553907689454,0.10562553907689454,-73.47320143151333
aCAU-rh,pPUT-rh,Caudate,Putamen,0.24752582030695702,0.14269527669955534,-0.10483054360740168,0.10483054360740168,-42.351356911938005
aHIP-rh,lAMY-rh,Hippocampus,Amygdala,0.3217281508658365,0.2169284341707456,-0.10479971669509092,0.10479971669509092,-32.57399652876298
aGP-lh,pGP-rh,Pallidum,Pallidum,0.10072218417167952,-0.0008759182476747874,-0.10159810241935431,0.10159810241935431,-100.86963786069391
pCAU-lh,pPUT-rh,Caudate,Putamen,0.2641871990797799,0.16402496340330017,-0.10016223567647972,0.10016223567647972,-37.913356901986944
THA-VA-rh,THA-VP-lh,Thal_ant,Thal_post,0.20855043226962824,0.10945608361345154,-0.09909434865617671,0.09909434865617671,-47.51577236150763
THA-VA-rh,aPUT-rh,Thal_ant,Putamen,0.23907828435191553,0.14202353904027093,-0.0970547453116446,0.0970547453116446,-40.59538304565677
aPUT-lh,pGP-lh,Putamen,Pallidum,0.18030655238937549,0.08326188677919363,-0.09704466561018185,0.09704466561018185,-53.82204047727118
pCAU-rh,pPUT-lh,Caudate,Putamen,0.2932961477634189,0.19648289270817962,-0.09681325505523927,0.09681325505523927,-33.008703248748986
aCAU-rh,pGP-lh,Caudate,Pallidum,0.07425484664215784,-0.022453283916111268,-0.0967081305582691,0.0967081305582691,-130.23813923462274
aHIP-lh,pHIP-lh,Hippocampus,Hippocampus,0.3885102054809764,0.2924452061579948,-0.09606499932298163,0.09606499932298163,-24.72650601392902
THA-DA-lh,THA-VA-rh,Thal_ant,Thal_ant,0.3890898088852217,0.29380080273999953,-0.09528900614522218,0.09528900614522218,-24.490234380138094
THA-VA-rh,THA-VP-rh,Thal_ant,Thal_post,0.2604325598822662,0.16733992010977883,-0.09309263977248738,0.09309263977248738,-35.74539213321552
aCAU-rh,pGP-rh,Caudate,Pallidum,0.02855646008314927,-0.06303918156403668,-0.09159564164718595,0.09159564164718595,-320.75278721691114
aCAU-lh,pPUT-rh,Caudate,Putamen,0.19928159606472282,0.10805368405258636,-0.09122791201213645,0.09122791201213645,-45.778392894097145
aPUT-rh,pGP-lh,Putamen,Pallidum,0.1249069109137622,0.03448784910902127,-0.09041906180474094,0.09041906180474094,-72.38915856879028
THA-VA-lh,aCAU-lh,Thal_ant,Caudate,0.3089558225095139,0.2186542708810093,-0.09030155162850462,0.09030155162850462,-29.22798181792605
pHIP-lh,pPUT-lh,Hippocampus,Putamen,-0.043147080530037456,0.04711349820395888,0.09026057873399634,0.09026057873399634,209.19278344026117
THA-VA-lh,aPUT-rh,Thal_ant,Putamen,0.20770130196905193,0.12011099592012059,-0.08759030604893134,0.08759030604893134,-42.17128405963606
THA-VA-rh,aGP-lh,Thal_ant,Pallidum,0.15772639896686377,0.07142820039554774,-0.08629819857131603,0.08629819857131603,-54.713858388059776
THA-VA-lh,pCAU-rh,Thal_ant,Caudate,0.26413487762113663,0.17867457985842194,-0.08546029776271469,0.08546029776271469,-32.35479484284357
aCAU-lh,aGP-lh,Caudate,Pallidum,0.1591859017477899,0.07442059996492467,-0.08476530178286523,0.08476530178286523,-53.249251882346485
pHIP-lh,pPUT-rh,Hippocampus,Putamen,-0.08252427408246037,0.0022266665420205972,0.08475094062448096,0.08475094062448096,102.69819585422304
THA-VA-lh,pCAU-lh,Thal_ant,Caudate,0.31891390967964756,0.23486062382067938,-0.08405328585896818,0.08405328585896818,-26.356105302337113
THA-DA-rh,pGP-lh,Thal_ant,Pallidum,0.024129091200013237,-0.05967149366076008,-0.08380058486077331,0.08380058486077331,-347.30104074838647
aHIP-lh,pHIP-rh,Hippocampus,Hippocampus,0.32822021103157645,0.2449159269992322,-0.08330428403234424,0.08330428403234424,-25.38060766292358
aPUT-lh,pHIP-lh,Putamen,Hippocampus,-0.050909533593123515,0.03173287649423651,0.08264241008736004,0.08264241008736004,162.3318939589004
THA-DA-lh,pGP-lh,Thal_ant,Pallidum,0.034582532238706463,-0.0479299431397094,-0.08251247537841586,0.08251247537841586,-238.59581712776907
aCAU-lh,aGP-rh,Caudate,Pallidum,0.12317011231402598,0.041696373282856296,-0.0814737390311697,0.0814737390311697,-66.14732868266768
THA-VA-rh,pPUT-rh,Thal_ant,Putamen,0.24548759609233456,0.16512289808890057,-0.08036469800343399,0.08036469800343399,-32.73676523078039
