network,mean_error,std_error,min_error,max_error,total_samples,n_regions
Hippocampus,0.5,0.31622776601683794,0.19999999999999996,0.9,40,4
Pallidum,0.5,0.0816496580927726,0.4,0.6,40,4
Amygdala,0.425,0.17078251276599332,0.19999999999999996,0.6,40,4
Accumbens,0.4,0.21602468994692872,0.19999999999999996,0.7,40,4
Putamen,0.4,0.08164965809277258,0.30000000000000004,0.5,40,4
SubcorticalOther,0.375,0.22173557826083456,0.09999999999999998,0.6,40,4
TemporalParietal,0.31666666666666665,0.2316606713852541,0.09999999999999998,0.7,60,6
Thalamus,0.2875,0.11259916264596034,0.19999999999999996,0.5,80,8
Somatomotor,0.27352941176470585,0.14419856580930915,0.0,0.6,340,34
DorsalAttention,0.22727272727272727,0.14203225046854737,0.0,0.5,220,22
Limbic,0.21428571428571427,0.19555500055421302,0.0,0.5,140,14
Visual,0.19583333333333333,0.1301476307779033,0.0,0.4,240,24
SalienceVentralAttention,0.19230769230769232,0.16714802283742855,0.0,0.7,260,26
Control,0.15405405405405403,0.14642896380648684,0.0,0.5,370,37
DefaultMode,0.15135135135135133,0.1676995024534155,0.0,0.8,370,37
