region_index,error_rate_rest,error_rate_task,error_increase
167,0.1651785714285714,0.6,0.4348214285714286
145,0.1026785714285714,0.49,0.3873214285714286
42,0.2053571428571429,0.54,0.33464285714285713
135,0.2321428571428571,0.525,0.2928571428571429
84,0.21875,0.5,0.28125
65,0.1383928571428571,0.405,0.26660714285714293
181,0.2276785714285714,0.49,0.2623214285714286
190,0.2276785714285714,0.485,0.2573214285714286
61,0.1830357142857143,0.43500000000000005,0.25196428571428575
142,0.5223214285714286,0.77,0.24767857142857141
75,0.15625,0.4,0.24375000000000002
101,0.2276785714285714,0.47,0.24232142857142858
196,0.2767857142857143,0.515,0.2382142857142857
85,0.1919642857142857,0.43000000000000005,0.23803571428571435
179,0.1607142857142857,0.39,0.22928571428571431
170,0.1473214285714286,0.37,0.2226785714285714
203,0.4330357142857143,0.655,0.22196428571428573
78,0.1830357142857143,0.405,0.22196428571428573
77,0.1696428571428571,0.385,0.2153571428571429
22,0.3258928571428571,0.54,0.21410714285714294
48,0.2276785714285714,0.43999999999999995,0.21232142857142855
184,0.2589285714285714,0.47,0.21107142857142858
161,0.4598214285714286,0.6699999999999999,0.21017857142857133
63,0.3125,0.52,0.20750000000000002
23,0.1205357142857143,0.32499999999999996,0.20446428571428565
94,0.1428571428571429,0.345,0.20214285714285707
136,0.2142857142857143,0.41500000000000004,0.20071428571428573
100,0.1919642857142857,0.39,0.19803571428571431
140,0.3392857142857143,0.5349999999999999,0.19571428571428562
128,0.2053571428571429,0.4,0.19464285714285712
144,0.2142857142857143,0.405,0.19071428571428573
71,0.125,0.31499999999999995,0.18999999999999995
185,0.0357142857142857,0.22499999999999998,0.18928571428571428
169,0.1517857142857143,0.33999999999999997,0.18821428571428567
211,0.7321428571428572,0.92,0.18785714285714283
215,0.3928571428571429,0.5800000000000001,0.18714285714285717
12,0.125,0.31000000000000005,0.18500000000000005
107,0.28125,0.46499999999999997,0.18374999999999997
230,0.3214285714285714,0.505,0.1835714285714286
225,0.4598214285714286,0.64,0.1801785714285714
82,0.15625,0.33499999999999996,0.17874999999999996
132,0.2276785714285714,0.405,0.17732142857142863
70,0.2678571428571429,0.44499999999999995,0.17714285714285705
174,0.3348214285714286,0.51,0.1751785714285714
224,0.5357142857142857,0.71,0.17428571428571427
206,0.3258928571428571,0.5,0.1741071428571429
197,0.4241071428571429,0.595,0.17089285714285707
125,0.2767857142857143,0.44499999999999995,0.16821428571428565
24,0.4419642857142857,0.61,0.1680357142857143
201,0.4732142857142857,0.64,0.16678571428571431
229,0.3035714285714286,0.47,0.16642857142857137
134,0.2991071428571429,0.46499999999999997,0.16589285714285706
1,0.1830357142857143,0.345,0.16196428571428567
151,0.1741071428571429,0.33499999999999996,0.16089285714285706
110,0.0892857142857143,0.25,0.1607142857142857
147,0.3794642857142857,0.54,0.16053571428571434
149,0.1875,0.345,0.15749999999999997
192,0.1383928571428571,0.29500000000000004,0.15660714285714294
40,0.34375,0.5,0.15625
93,0.2142857142857143,0.37,0.1557142857142857
106,0.25,0.405,0.15500000000000003
92,0.3169642857142857,0.47,0.15303571428571427
180,0.09375,0.245,0.15125
20,0.2991071428571429,0.44999999999999996,0.15089285714285705
47,0.2098214285714286,0.36,0.15017857142857138
193,0.3169642857142857,0.46499999999999997,0.14803571428571427
91,0.2857142857142857,0.43000000000000005,0.14428571428571435
102,0.0758928571428571,0.21999999999999997,0.14410714285714288
104,0.2008928571428571,0.345,0.14410714285714288
27,0.2098214285714286,0.35,0.14017857142857137
204,0.4553571428571429,0.595,0.13964285714285707
172,0.1785714285714286,0.31499999999999995,0.13642857142857134
159,0.2901785714285714,0.42500000000000004,0.13482142857142865
45,0.1607142857142857,0.29500000000000004,0.13428571428571434
222,0.2723214285714286,0.405,0.13267857142857142
33,0.4196428571428571,0.55,0.13035714285714295
111,0.2053571428571429,0.33499999999999996,0.12964285714285706
188,0.0758928571428571,0.20499999999999996,0.12910714285714286
228,0.3392857142857143,0.46499999999999997,0.12571428571428567
109,0.2455357142857143,0.37,0.1244642857142857
98,0.4107142857142857,0.5349999999999999,0.12428571428571422
213,0.3258928571428571,0.44999999999999996,0.12410714285714286
219,0.4732142857142857,0.5900000000000001,0.11678571428571438
202,0.6785714285714286,0.795,0.11642857142857144
127,0.2589285714285714,0.375,0.1160714285714286
103,0.1741071428571429,0.29000000000000004,0.11589285714285713
200,0.4598214285714286,0.575,0.11517857142857135
212,0.3258928571428571,0.43999999999999995,0.11410714285714285
14,0.2053571428571429,0.31499999999999995,0.10964285714285704
113,0.1607142857142857,0.27,0.10928571428571432
126,0.3258928571428571,0.43500000000000005,0.10910714285714296
7,0.3125,0.42000000000000004,0.10750000000000004
41,0.3839285714285714,0.49,0.1060714285714286
154,0.2098214285714286,0.31499999999999995,0.10517857142857134
164,0.0803571428571429,0.18500000000000005,0.10464285714285715
165,0.1205357142857143,0.22499999999999998,0.10446428571428568
25,0.3125,0.41500000000000004,0.10250000000000004
226,0.6741071428571428,0.775,0.10089285714285723
231,0.4151785714285714,0.515,0.09982142857142862
217,0.5357142857142857,0.635,0.09928571428571431
160,0.3660714285714286,0.46499999999999997,0.09892857142857137
8,0.40625,0.505,0.09875
227,0.78125,0.88,0.09875
46,0.2321428571428571,0.32999999999999996,0.09785714285714286
62,0.1473214285714286,0.245,0.09767857142857139
21,0.1875,0.28500000000000003,0.09750000000000003
214,0.4330357142857143,0.53,0.09696428571428573
6,0.2857142857142857,0.38,0.0942857142857143
0,0.2008928571428571,0.29500000000000004,0.09410714285714294
158,0.1160714285714286,0.20999999999999996,0.09392857142857136
166,0.2589285714285714,0.35,0.09107142857142858
44,0.0892857142857143,0.18000000000000005,0.09071428571428575
29,0.2455357142857143,0.33499999999999996,0.08946428571428566
130,0.2321428571428571,0.31999999999999995,0.08785714285714286
146,0.1339285714285714,0.21999999999999997,0.08607142857142858
150,0.2455357142857143,0.32999999999999996,0.08446428571428566
221,0.4598214285714286,0.54,0.08017857142857143
124,0.2366071428571429,0.31499999999999995,0.07839285714285704
186,0.1383928571428571,0.21499999999999997,0.07660714285714287
182,0.0535714285714286,0.13,0.0764285714285714
153,0.34375,0.42000000000000004,0.07625000000000004
143,0.4642857142857143,0.54,0.07571428571428573
155,0.2008928571428571,0.275,0.07410714285714293
189,0.2321428571428571,0.30500000000000005,0.07285714285714295
133,0.2276785714285714,0.30000000000000004,0.07232142857142865
68,0.1383928571428571,0.20999999999999996,0.07160714285714287
223,0.34375,0.41500000000000004,0.07125000000000004
141,0.1339285714285714,0.20499999999999996,0.07107142857142856
195,0.1607142857142857,0.22999999999999998,0.06928571428571428
53,0.4107142857142857,0.48,0.06928571428571428
72,0.1160714285714286,0.18500000000000005,0.06892857142857145
105,0.1116071428571429,0.18000000000000005,0.06839285714285714
17,0.1919642857142857,0.26,0.06803571428571431
205,0.4776785714285714,0.5449999999999999,0.06732142857142853
5,0.09375,0.16000000000000003,0.06625000000000003
76,0.0892857142857143,0.15500000000000003,0.06571428571428573
123,0.2098214285714286,0.275,0.06517857142857142
86,0.3258928571428571,0.39,0.06410714285714292
60,0.2008928571428571,0.265,0.06410714285714292
95,0.3080357142857143,0.37,0.061964285714285694
9,0.0535714285714286,0.11499999999999999,0.06142857142857139
87,0.044642857142857095,0.10499999999999998,0.06035714285714289
152,0.25,0.31000000000000005,0.06000000000000005
2,0.0803571428571429,0.14,0.05964285714285711
10,0.1205357142857143,0.18000000000000005,0.05946428571428575
39,0.1071428571428571,0.16000000000000003,0.052857142857142936
50,0.5178571428571428,0.5700000000000001,0.05214285714285727
74,0.1383928571428571,0.18999999999999995,0.05160714285714285
108,0.0401785714285714,0.08999999999999997,0.04982142857142857
114,0.2723214285714286,0.31999999999999995,0.04767857142857135
66,0.1875,0.235,0.04749999999999999
49,0.0848214285714286,0.13,0.0451785714285714
173,0.1517857142857143,0.19499999999999995,0.04321428571428565
99,0.4419642857142857,0.485,0.04303571428571429
210,0.6919642857142857,0.735,0.04303571428571429
156,0.2321428571428571,0.275,0.04285714285714293
208,0.5892857142857143,0.63,0.0407142857142857
59,0.2946428571428571,0.33499999999999996,0.04035714285714287
83,0.3705357142857143,0.41000000000000003,0.03946428571428573
18,0.0714285714285714,0.10999999999999999,0.03857142857142859
55,0.5223214285714286,0.56,0.03767857142857145
122,0.1875,0.22499999999999998,0.03749999999999998
13,0.2232142857142857,0.26,0.03678571428571431
137,0.2633928571428571,0.30000000000000004,0.03660714285714295
4,0.1785714285714286,0.21499999999999997,0.036428571428571366
175,0.1785714285714286,0.21499999999999997,0.036428571428571366
209,0.5089285714285714,0.5449999999999999,0.03607142857142853
162,0.5491071428571428,0.585,0.03589285714285717
80,0.2366071428571429,0.27,0.03339285714285711
81,0.1116071428571429,0.14500000000000002,0.03339285714285711
121,0.1071428571428571,0.14,0.03285714285714292
220,0.5223214285714286,0.5549999999999999,0.032678571428571335
26,0.022321428571428603,0.050000000000000044,0.02767857142857144
177,0.3392857142857143,0.365,0.02571428571428569
52,0.375,0.4,0.025000000000000022
11,0.1205357142857143,0.14500000000000002,0.024464285714285716
32,0.1785714285714286,0.19999999999999996,0.021428571428571352
129,0.044642857142857095,0.06499999999999995,0.02035714285714285
73,0.0848214285714286,0.10499999999999998,0.02017857142857138
97,0.2901785714285714,0.31000000000000005,0.019821428571428656
157,0.2723214285714286,0.29000000000000004,0.017678571428571432
96,0.0803571428571429,0.09499999999999997,0.014642857142857069
30,0.3258928571428571,0.33999999999999997,0.014107142857142874
69,0.1964285714285714,0.20999999999999996,0.013571428571428568
37,0.1517857142857143,0.16500000000000004,0.013214285714285734
207,0.3526785714285714,0.365,0.012321428571428594
216,0.4732142857142857,0.485,0.011785714285714288
194,0.0982142857142857,0.10999999999999999,0.011785714285714288
56,0.3794642857142857,0.39,0.010535714285714315
16,0.25,0.26,0.010000000000000009
79,0.1651785714285714,0.17500000000000004,0.009821428571428648
138,0.1071428571428571,0.11499999999999999,0.007857142857142896
57,0.1294642857142857,0.135,0.0055357142857143105
19,0.1696428571428571,0.17500000000000004,0.005357142857142949
90,0.2767857142857143,0.28,0.003214285714285725
171,0.2589285714285714,0.26,0.001071428571428612
218,0.5892857142857143,0.5900000000000001,0.0007142857142857784
38,0.3214285714285714,0.31999999999999995,-0.0014285714285714457
191,0.1919642857142857,0.18999999999999995,-0.0019642857142857517
3,0.4375,0.43500000000000005,-0.0024999999999999467
58,0.1741071428571429,0.17000000000000004,-0.004107142857142865
120,0.2053571428571429,0.19499999999999995,-0.010357142857142954
131,0.3258928571428571,0.31499999999999995,-0.010892857142857149
118,0.3214285714285714,0.31000000000000005,-0.011428571428571344
31,0.34375,0.32999999999999996,-0.01375000000000004
198,0.3794642857142857,0.365,-0.014464285714285707
148,0.15625,0.135,-0.02124999999999999
163,0.1964285714285714,0.17500000000000004,-0.021428571428571352
199,0.3526785714285714,0.32999999999999996,-0.022678571428571437
183,0.2544642857142857,0.22999999999999998,-0.024464285714285716
88,0.1294642857142857,0.10499999999999998,-0.024464285714285716
15,0.2946428571428571,0.265,-0.029642857142857082
