region,error_rate
LH_VisCent_ExStr_2,0.0
LH_VisCent_ExStr_1,0.0
LH_VisCent_Striate_1,0.0
LH_VisCent_ExStr_3,0.0
LH_VisCent_ExStr_4,0.0
LH_VisCent_ExStr_5,0.0
LH_VisPeri_ExStrInf_1,0.0
LH_VisPeri_ExStrInf_2,0.0
LH_VisPeri_ExStrInf_3,0.0
LH_VisPeri_StriCal_1,0.0
LH_VisPeri_ExStrSup_1,0.0
LH_VisPeri_ExStrSup_2,0.0
LH_SomMotA_1,0.0
LH_SomMotA_2,0.0
LH_SomMotA_3,0.0
LH_SomMotA_4,0.0
LH_SomMotA_5,0.0
LH_SomMotA_6,0.0
LH_SomMotA_7,0.0
LH_SomMotA_8,0.0
LH_SomMotB_Aud_1,0.0
LH_SomMotB_Aud_2,0.0
LH_SomMotB_S2_1,0.0
LH_SomMotB_S2_2,0.0
LH_SomMotB_Aud_3,0.0
LH_SomMotB_S2_3,0.0
LH_SomMotB_Cent_1,0.0
LH_SomMotB_Cent_2,0.0
LH_DorsAttnA_TempOcc_1,0.0
LH_DorsAttnA_TempOcc_2,0.0
LH_DorsAttnA_ParOcc_1,0.0
LH_DorsAttnA_SPL_1,0.0
LH_DorsAttnA_SPL_2,0.0
LH_DorsAttnA_SPL_3,0.0
LH_DorsAttnB_PostC_1,0.0
LH_DorsAttnB_PostC_2,0.0
LH_DorsAttnB_PostC_3,0.0
LH_DorsAttnB_PostC_4,0.0
LH_DorsAttnB_FEF_1,0.0
LH_SalVentAttnA_ParOper_1,0.0
LH_SalVentAttnA_Ins_1,0.0
LH_SalVentAttnA_FrOper_1,0.0
LH_SalVentAttnA_FrOper_2,0.0
LH_SalVentAttnA_ParMed_1,0.0
LH_SalVentAttnA_FrMed_1,0.0
LH_SalVentAttnA_FrMed_2,0.0
LH_SalVentAttnB_IPL_1,0.0
LH_SalVentAttnB_PFCl_1,0.0
LH_SalVentAttnB_Ins_1,0.0
LH_SalVentAttnB_PFCmp_1,0.0
LH_LimbicB_OFC_1,0.0
LH_LimbicB_OFC_2,0.0
LH_LimbicA_TempPole_1,0.0
LH_LimbicA_TempPole_2,0.0
LH_LimbicA_TempPole_3,0.0
LH_LimbicA_TempPole_4,0.008928571428571397
LH_ContA_Temp_1,0.0
LH_ContA_IPS_1,0.0
LH_ContA_IPS_2,0.0
LH_ContA_IPS_3,0.0
LH_ContA_PFCd_1,0.0
LH_ContA_PFClv_1,0.0
LH_ContA_PFCl_1,0.0
LH_ContA_PFCl_2,0.0
LH_ContA_PFCl_3,0.0
LH_ContA_Cingm_1,0.0
LH_ContB_Temp_1,0.0
LH_ContB_IPL_1,0.0
LH_ContB_PFCl_1,0.0
LH_ContB_PFClv_1,0.0
LH_ContB_PFClv_2,0.0
LH_ContC_pCun_1,0.0
LH_ContC_pCun_2,0.0
LH_ContC_Cingp_1,0.0
LH_DefaultA_IPL_1,0.0
LH_DefaultA_PFCd_1,0.0
LH_DefaultA_pCunPCC_1,0.0
LH_DefaultA_pCunPCC_2,0.0
LH_DefaultA_pCunPCC_3,0.0
LH_DefaultA_PFCm_1,0.0
LH_DefaultA_PFCm_2,0.0
LH_DefaultA_PFCm_3,0.0
LH_DefaultB_Temp_1,0.0
LH_DefaultB_Temp_2,0.0
LH_DefaultB_Temp_3,0.0
LH_DefaultB_Temp_4,0.0
LH_DefaultB_IPL_1,0.0
LH_DefaultB_PFCd_1,0.0
LH_DefaultB_PFCd_2,0.0
LH_DefaultB_PFCd_3,0.0
LH_DefaultB_PFCd_4,0.0
LH_DefaultB_PFCv_1,0.0
LH_DefaultB_PFCv_2,0.0
LH_DefaultB_PFCv_3,0.0
LH_DefaultB_PFCv_4,0.0
LH_DefaultC_IPL_1,0.0
LH_DefaultC_Rsp_1,0.0
LH_DefaultC_PHC_1,0.0
LH_TempPar_1,0.0
LH_TempPar_2,0.0
RH_VisCent_ExStr_1,0.0
RH_VisCent_ExStr_2,0.0
RH_VisCent_Striate_1,0.0
RH_VisCent_ExStr_3,0.0
RH_VisCent_ExStr_4,0.0
RH_VisCent_ExStr_5,0.0
RH_VisPeri_ExStrInf_1,0.0
RH_VisPeri_ExStrInf_2,0.0
RH_VisPeri_StriCal_1,0.0
RH_VisPeri_ExStrSup_1,0.0
RH_VisPeri_ExStrSup_2,0.0
RH_VisPeri_ExStrSup_3,0.0
RH_SomMotA_1,0.0
RH_SomMotA_2,0.0
RH_SomMotA_3,0.0
RH_SomMotA_4,0.0
RH_SomMotA_5,0.0
RH_SomMotA_6,0.0
RH_SomMotA_7,0.0
RH_SomMotA_8,0.0
RH_SomMotA_9,0.0
RH_SomMotA_10,0.0
RH_SomMotA_11,0.0
RH_SomMotB_Aud_1,0.0
RH_SomMotB_Aud_2,0.0
RH_SomMotB_S2_1,0.0
RH_SomMotB_S2_2,0.0
RH_SomMotB_S2_3,0.0
RH_SomMotB_S2_4,0.0
RH_SomMotB_Cent_1,0.0
RH_DorsAttnA_TempOcc_1,0.0
RH_DorsAttnA_ParOcc_1,0.0
RH_DorsAttnA_SPL_1,0.0
RH_DorsAttnA_SPL_2,0.0
RH_DorsAttnA_SPL_3,0.0
RH_DorsAttnA_SPL_4,0.0
RH_DorsAttnB_PostC_1,0.0
RH_DorsAttnB_PostC_2,0.0
RH_DorsAttnB_PostC_3,0.0
RH_DorsAttnB_PostC_4,0.0
RH_DorsAttnB_FEF_1,0.0
RH_SalVentAttnA_ParOper_1,0.0
RH_SalVentAttnA_PrC_1,0.0
RH_SalVentAttnA_Ins_1,0.0
RH_SalVentAttnA_Ins_2,0.0
RH_SalVentAttnA_FrOper_1,0.0
RH_SalVentAttnA_FrMed_1,0.0
RH_SalVentAttnA_ParMed_1,0.0
RH_SalVentAttnA_ParMed_2,0.0
RH_SalVentAttnA_FrMed_2,0.0
RH_SalVentAttnB_IPL_1,0.0
RH_SalVentAttnB_PFClv_1,0.0
RH_SalVentAttnB_PFCl_1,0.0
RH_SalVentAttnB_Ins_1,0.0
RH_SalVentAttnB_Ins_2,0.0
RH_SalVentAttnB_PFCmp_1,0.0
RH_LimbicB_OFC_1,0.0
RH_LimbicB_OFC_2,0.0
RH_LimbicB_OFC_3,0.0
RH_LimbicB_OFC_4,0.0
