region_index,error_rate_rest,error_rate_task,error_increase
90,0.0,1.0,1.0
216,0.0,1.0,1.0
211,0.0,1.0,1.0
220,0.0,1.0,1.0
55,0.0,0.9,0.9
8,0.0,0.9,0.9
98,0.0,0.9,0.9
65,0.0,0.9,0.9
226,0.0,0.9,0.9
187,0.0,0.9,0.9
142,0.0,0.9,0.9
198,0.0,0.9,0.9
125,0.0,0.9,0.9
92,0.0,0.9,0.9
40,0.0,0.9,0.9
222,0.0,0.8,0.8
93,0.0,0.8,0.8
100,0.0,0.8,0.8
91,0.0,0.8,0.8
162,0.0,0.8,0.8
166,0.0,0.8,0.8
147,0.0,0.8,0.8
169,0.0,0.8,0.8
229,0.0,0.8,0.8
204,0.0,0.8,0.8
209,0.0,0.8,0.8
161,0.0,0.8,0.8
73,0.0,0.8,0.8
218,0.0,0.8,0.8
227,0.0,0.8,0.8
202,0.0,0.8,0.8
1,0.0,0.7,0.7
12,0.0,0.7,0.7
13,0.0,0.7,0.7
14,0.0,0.7,0.7
7,0.0,0.7,0.7
49,0.0,0.7,0.7
75,0.0,0.7,0.7
94,0.0,0.7,0.7
45,0.0,0.7,0.7
201,0.0,0.7,0.7
205,0.0,0.7,0.7
207,0.0,0.7,0.7
206,0.0,0.7,0.7
213,0.0,0.7,0.7
196,0.0,0.7,0.7
208,0.0,0.7,0.7
150,0.0,0.7,0.7
133,0.0,0.7,0.7
145,0.0,0.7,0.7
184,0.0,0.7,0.7
174,0.0,0.7,0.7
22,0.0,0.7,0.7
210,0.0,0.7,0.7
219,0.0,0.7,0.7
230,0.0,0.7,0.7
127,0.0,0.6,0.6
134,0.0,0.6,0.6
126,0.0,0.6,0.6
120,0.0,0.6,0.6
131,0.0,0.6,0.6
123,0.0,0.6,0.6
140,0.0,0.6,0.6
177,0.0,0.6,0.6
179,0.0,0.6,0.6
182,0.0,0.6,0.6
192,0.0,0.6,0.6
197,0.0,0.6,0.6
172,0.0,0.6,0.6
159,0.0,0.6,0.6
156,0.0,0.6,0.6
160,0.0,0.6,0.6
48,0.0,0.6,0.6
99,0.0,0.6,0.6
84,0.0,0.6,0.6
83,0.0,0.6,0.6
86,0.0,0.6,0.6
41,0.0,0.6,0.6
70,0.0,0.6,0.6
63,0.0,0.6,0.6
50,0.0,0.6,0.6
56,0.0,0.6,0.6
200,0.0,0.6,0.6
163,0.0,0.6,0.6
153,0.0,0.6,0.6
42,0.0,0.6,0.6
27,0.0,0.6,0.6
51,0.0,0.6,0.6
54,0.0,0.6,0.6
19,0.0,0.6,0.6
69,0.0,0.5,0.5
58,0.0,0.5,0.5
53,0.0,0.5,0.5
81,0.0,0.5,0.5
85,0.0,0.5,0.5
97,0.0,0.5,0.5
71,0.0,0.5,0.5
24,0.0,0.5,0.5
66,0.0,0.5,0.5
64,0.0,0.5,0.5
4,0.0,0.5,0.5
6,0.0,0.5,0.5
0,0.0,0.5,0.5
5,0.0,0.5,0.5
121,0.0,0.5,0.5
199,0.0,0.5,0.5
186,0.0,0.5,0.5
193,0.0,0.5,0.5
224,0.0,0.5,0.5
223,0.0,0.5,0.5
217,0.0,0.5,0.5
203,0.0,0.5,0.5
228,0.0,0.5,0.5
225,0.0,0.5,0.5
221,0.0,0.5,0.5
155,0.0,0.5,0.5
167,0.0,0.5,0.5
157,0.0,0.5,0.5
128,0.0,0.5,0.5
137,0.0,0.5,0.5
106,0.0,0.5,0.5
47,0.0,0.5,0.5
68,0.0,0.5,0.5
46,0.0,0.5,0.5
52,0.0,0.5,0.5
3,0.0,0.5,0.5
144,0.0,0.5,0.5
151,0.0,0.5,0.5
116,0.0,0.5,0.5
118,0.0,0.5,0.5
114,0.0,0.5,0.5
119,0.0,0.5,0.5
115,0.0,0.5,0.5
136,0.0,0.4,0.4
212,0.0,0.4,0.4
183,0.0,0.4,0.4
43,0.0,0.4,0.4
44,0.0,0.4,0.4
59,0.0,0.4,0.4
61,0.0,0.4,0.4
60,0.0,0.4,0.4
62,0.0,0.4,0.4
67,0.0,0.4,0.4
18,0.0,0.4,0.4
28,0.0,0.4,0.4
20,0.0,0.4,0.4
37,0.0,0.4,0.4
36,0.0,0.4,0.4
16,0.0,0.4,0.4
25,0.0,0.4,0.4
17,0.0,0.4,0.4
89,0.0,0.4,0.4
82,0.0,0.4,0.4
149,0.0,0.4,0.4
148,0.0,0.4,0.4
143,0.0,0.4,0.4
158,0.0,0.4,0.4
107,0.0,0.4,0.4
129,0.0,0.4,0.4
113,0.0,0.4,0.4
231,0.0,0.4,0.4
215,0.0,0.4,0.4
190,0.0,0.4,0.4
101,0.0,0.4,0.4
103,0.0,0.4,0.4
32,0.0,0.30000000000000004,0.30000000000000004
102,0.0,0.30000000000000004,0.30000000000000004
77,0.0,0.30000000000000004,0.30000000000000004
175,0.0,0.30000000000000004,0.30000000000000004
173,0.0,0.30000000000000004,0.30000000000000004
170,0.0,0.30000000000000004,0.30000000000000004
171,0.0,0.30000000000000004,0.30000000000000004
180,0.0,0.30000000000000004,0.30000000000000004
178,0.0,0.30000000000000004,0.30000000000000004
168,0.0,0.30000000000000004,0.30000000000000004
189,0.0,0.30000000000000004,0.30000000000000004
138,0.0,0.30000000000000004,0.30000000000000004
146,0.0,0.30000000000000004,0.30000000000000004
164,0.0,0.30000000000000004,0.30000000000000004
130,0.0,0.30000000000000004,0.30000000000000004
165,0.0,0.30000000000000004,0.30000000000000004
117,0.0,0.30000000000000004,0.30000000000000004
111,0.0,0.30000000000000004,0.30000000000000004
122,0.0,0.30000000000000004,0.30000000000000004
15,0.0,0.30000000000000004,0.30000000000000004
31,0.0,0.30000000000000004,0.30000000000000004
87,0.0,0.30000000000000004,0.30000000000000004
124,0.0,0.30000000000000004,0.30000000000000004
29,0.0,0.30000000000000004,0.30000000000000004
21,0.0,0.30000000000000004,0.30000000000000004
30,0.0,0.30000000000000004,0.30000000000000004
23,0.0,0.30000000000000004,0.30000000000000004
109,0.0,0.30000000000000004,0.30000000000000004
11,0.0,0.19999999999999996,0.19999999999999996
2,0.0,0.19999999999999996,0.19999999999999996
10,0.0,0.19999999999999996,0.19999999999999996
9,0.0,0.19999999999999996,0.19999999999999996
35,0.0,0.19999999999999996,0.19999999999999996
39,0.0,0.19999999999999996,0.19999999999999996
79,0.0,0.19999999999999996,0.19999999999999996
176,0.0,0.19999999999999996,0.19999999999999996
195,0.0,0.19999999999999996,0.19999999999999996
214,0.0,0.19999999999999996,0.19999999999999996
152,0.0,0.19999999999999996,0.19999999999999996
141,0.0,0.19999999999999996,0.19999999999999996
154,0.0,0.19999999999999996,0.19999999999999996
112,0.0,0.19999999999999996,0.19999999999999996
96,0.0,0.19999999999999996,0.19999999999999996
72,0.0,0.19999999999999996,0.19999999999999996
57,0.0,0.19999999999999996,0.19999999999999996
26,0.0,0.19999999999999996,0.19999999999999996
33,0.0,0.19999999999999996,0.19999999999999996
38,0.0,0.19999999999999996,0.19999999999999996
135,0.0,0.19999999999999996,0.19999999999999996
108,0.0,0.19999999999999996,0.19999999999999996
34,0.0,0.09999999999999998,0.09999999999999998
188,0.0,0.09999999999999998,0.09999999999999998
88,0.0,0.09999999999999998,0.09999999999999998
80,0.0,0.09999999999999998,0.09999999999999998
95,0.0,0.09999999999999998,0.09999999999999998
74,0.0,0.09999999999999998,0.09999999999999998
78,0.0,0.09999999999999998,0.09999999999999998
110,0.0,0.09999999999999998,0.09999999999999998
132,0.0,0.09999999999999998,0.09999999999999998
191,0.0,0.09999999999999998,0.09999999999999998
185,0.0,0.09999999999999998,0.09999999999999998
139,0.0,0.09999999999999998,0.09999999999999998
181,0.0,0.09999999999999998,0.09999999999999998
76,0.0,0.0,0.0
105,0.0,0.0,0.0
104,0.0,0.0,0.0
194,0.0,0.0,0.0
